Question number,Question Description,Recommendation
CI.01,The software architecture is modular in order to allow automated testing.,"A software architecture that is characterized by having loosely coupled and highly cohesive modules makes automated testing feasible, as it makes it possible to isolate units of code for unit testing.
To make modules more semantically cohesive, it is necessary to apply refactorings, such as moving some functions or pieces of code from one module to another, whether new or existing. To make modules less coupled, here are some instructions:
- Define modules with well-defined interfaces.
- Use an intermediary to break dependencies. The type of intermediary depends on the type of dependency. For example, in a service-oriented architecture, in which services are discovered by dynamic search, the discovery service is an intermediary.
- Restrict visibility and access to modules only via interfaces and to modules that meet architectural constraints.
- Abstract similar services by implementing an abstract service that can replace the same or similar parts in two or more modules.
It's worth remembering that changing the architecture to a more modular one involves effort and change in the organization of teams, limiting domains and good communication between services. See more details in a case study at the following link: https://martinfowler.com/articles/linking-modular-arch.html "
CI.02,The software architecture is modular in order to allow automated builds.,"A software architecture that is characterized by having loosely coupled and highly cohesive modules makes automated testing feasible, as it makes it possible to isolate units of code for unit testing.
To make modules more semantically cohesive, it is necessary to apply refactorings, such as moving some functions or pieces of code from one module to another, whether new or existing. To make modules less coupled, here are some instructions:
- Design modules with well-defined interfaces.
- Use an intermediary to break strong dependencies. The type of intermediary depends on the type of dependency. For example, in a service-oriented architecture, in which services are discovered by dynamic search, the discovery service is an intermediary.
- Restrict visibility and access to modules only via interfaces and to modules that meet the constraints of the architecture.
- Abstract similar services by implementing an abstract service that can replace the same or similar parts in two or more modules.
It's worth remembering that changing the architecture to a more modular one involves effort and change in team organization, limiting domains and good communication between modules. See more details in a case study at the following link: https://martinfowler.com/articles/linking-modular-arch.html"
CI.03,Code is integrated constantly and automatically.,"To integrate code more frequently, try one or two of the following techniques:
- Make small changes - Avoid changing too many components at once. Choose small tasks, write the tests and source code, run your tests, and then commit your code to the version control repository. 
- Commit after each task - Assuming that the tasks or work items have been broken down to the point where they can be finished in a few hours, developers should then commit their code as soon as each task is completed. 
Ideally, each developer should commit at least once a day."
CI.04,"Tests are run automatically, periodically (e.g. whenever new code is integrated), in a test environment, to check the quality of the code (e.g. coverage, correctness).","Make sure you use a continuous integration tool to run unit tests automatically, ensure that tests of different levels are run at the appropriate stage in the pipeline and monitor code quality metrics. Categorize your tests into distinct groups: unit tests, which check the behaviour of small elements, usually a single class or function; integration tests, which check that interaction between components occurs as expected; system tests, which check that the entire system and its external interfaces work correctly; and acceptance tests, which simulate the use of the system from the user's point of view to check that functionalities are behaving as expected.

Run the fastest tests first, performing unit tests on each code integration and integration, system and acceptance tests at the appropriate stages of the pipeline or at periodic intervals. Whenever you add new code or discover a defect, create tests to cover it. Ensure that test cases have only one assertion to make it easier to identify bugs."
CI.05,Automated tests are used to assess whether the implemented software meets the established requirements.,"Start by prioritizing the automation of tests that verify the system's main and critical scenarios, followed by tests that are executed frequently and require less maintenance effort. It is important to develop the automated tests simultaneously with the code, based on the acceptance criteria for functional requirements and the quality constraints for non-functional requirements. In addition, automate the tests that indirectly validate compliance with the requirements. Automating tests reduces repetitive workload and minimizes human error in the testing process. It is essential to keep the automated tests updated in sync with the evolution of the system."
CI.06,Builds occur frequently and automatically.,"To guarantee the stability and reliability of the system, it is essential to carry out all updates through automated builds. It is advisable to plan the development and delivery of solutions in such a way as to facilitate more frequent automated builds, and to divide tasks into smaller units. Use continuous integration (CI) tools to automate the build process."
CI.07,Builds are canceled if one or more tests fail.,"Implement and configure a Continuous Integration (CI) tool to stop building immediately if one or more tests fail. It is crucial to identify the cause of the failure, whether it is a problem with the test or the application, and to take corrective action immediately. This is fundamental to preserving the integrity of the application and ensuring the continued reliability of the test suite."
CI.08,"There is version control of software artifacts (e.g. code, tests, scripts, etc.) in a repository.","Ensure that you use a version control tool for the artifacts, so that you can be confident that you can run previous versions of the system. Use versioning semantics and tags that make it clear to development teams how versions are organized."
CI.09,Good check-in practices are applied in the development trunk (e.g. use of GitFlow).,"Before integrating the code, run local tests and review the code. Use Pull Requests (PRs) to facilitate the review and discussion of changes: create detailed PRs with clear descriptions and ask at least one team member to review them. Adopt a branching model, such as GitFlow, for structured change management.
In comments, both in the code and in the PRs, be clear and constructive, explaining the logic and important details without redundancy. Follow commit conventions, such as those of Conventional Commits (https://www.conventionalcommits.org/en/v1.0.0/), to keep an organized and informative commit history."
CI.10,There are practices that allow organizations or people external to the project to act in the implementation of the product (i.e. produce and integrate code into the product being developed).,"Set up the necessary access permissions for the user accounts of external collaborators participating in the project. This includes version control tools, project management tools such as Jira, among others. It is essential to have guidelines available with general directions for contributors, for example, what the development nomenclature is, how to access software tools, or what the Pull Request requirements are."
CI.11,"Data is collected for metrics that make it possible to evaluate the continuous integration process (e.g. number of canceled builds, number of code integrations performed).","Collect data on a regular basis to analyze various behaviors in the continuous integration procedures. Based on these analyses, set clear and achievable goals together with the team, and monitor regularly to adjust, if necessary, the procedures needed to achieve these goals. It is crucial that the goals set make sense to everyone involved, so as not to interfere with the evolution or adoption of new development practices.
Some metrics to consider, along with questions for analysis:
- Number of canceled builds: Is the reliability of the test suite compromised? Are there problems of technical or development understanding? Is the development environment stable enough to support testing?
- Number of failed builds: What is the frequency of failed builds? Are these failures related to specific code or environment problems? Are there patterns that indicate areas for improvement or adjustment needs in the test suite?
- Number of integrations carried out: Are tasks being sufficiently broken down into smaller units? Are all code updates being adequately included in the integration process, without exceptions?"
CI.12,"Data produced in continuous integration environments (e.g. date of builds, number of tests run and coverage percentage) is stored in one (or more) data repositories.","Store the data generated in the continuous integration process securely, guaranteeing its availability for consultation when necessary. Secure the repository to allow access only to authorized people and systems, ensuring not only the availability but also the integrity of the data. To do this, in addition to a continuous integration server, consider a repository for storing binary artifacts, such as Artifactory"
CI.13,The continuous integration process (including automated testing) is continuously evaluated and improved.,"Hold regular meetings with the team to identify opportunities for improvement in the CI process. Draw up action plans to address these points, using concrete data as a basis for analysis and progress. Consider improvements in aspects such as test coverage and automation, version control tools, reducing canceled builds, team coordination, among other elements of the CI process. Retrospective meetings can be used to raise important points, for example."
